num of workers	Speedup Threads	Speedup Fast Flow	Seq time	Thread time	FF time
1	0.974934	0.985384	1291918	1.32516e+06	1.31114e+06
2	1.7323	1.87673	1291918	745790	688823
3	2.59429	2.77015	1291918	498016	466386
4	3.43807	3.67952	1291918	375787	351129
5	4.29113	4.56279	1291918	301075	283150
6	5.15476	5.46004	1291918	250650	236633
7	6.00044	6.26127	1291918	215312	206382
8	6.80049	6.98026	1291918	189999	185227
9	7.57899	8.09096	1291918	170494	159676
10	8.36398	8.63704	1291918	154565	149814
11	9.26836	9.75243	1291918	139401	132527
12	10.1379	10.5797	1291918	127436	122199
13	10.9188	11.6153	1291918	118336	111226
14	11.6172	12.2569	1291918	111309	105468
15	12.0828	12.718	1291918	107111	101723
16	12.7968	13.6339	1291918	101143	94802.4
17	13.6626	14.7136	1291918	94797	87822.8
18	14.0389	15.3832	1291918	92192	84026.4
19	13.9373	15.4367	1291918	92758.6	83718.2
20	15.6622	16.0968	1291918	82532.4	80323.8
21	16.4734	16.5344	1291918	78455.8	78136.8
22	16.3893	17.365	1291918	79069.8	74437
23	16.2033	17.4672	1291918	80031.2	74033.8
24	17.5855	17.518	1291918	73546.2	73832.6
25	16.1224	17.1396	1291918	80600.6	75686
26	16.3266	16.5134	1291918	79160.2	78777.8
27	17.0464	18.6151	1291918	75982.2	69671.6
28	15.968	18.0507	1291918	82187.2	71869.4
29	18.3089	17.999	1291918	70767.8	72069.8
30	18.2694	18.4838	1291918	70935.2	70102.8
31	18.5283	18.392	1291918	69808	70396.8
32	16.1993	17.4478	1291918	80669.8	74223.4
