num of workers	Scalability Threads	Scalability Fast Flow	Thread time	FF time
1	0.978822	1.16433	9293.2	9973.8
2	1.90696	2.33557	4748	4778.2
3	2.34856	3.14146	4329.8	3555.8
4	3.15114	3.9836	2879	2801
5	3.45589	4.10675	2676.6	2868.2
6	3.72833	3.95088	2526.8	2852.8
7	4.13315	5.29283	2262.2	2122.2
8	3.78627	5.50027	2446.4	2070
9	2.96239	5.04	3102.2	2435.8
10	3.88565	5.21024	2576.6	2145.2
11	4.016	5.38683	2286.4	2110.4
12	3.45631	6.0993	2693.6	1833.6
13	3.76778	5.79048	2404.2	1936.6
14	3.51841	5.7327	2623.8	1962.8
15	3.75649	4.92001	2408	2410.6
16	3.30987	5.60526	2863.2	1990.6
17	2.66993	5.57873	4010	2015.2
18	3.3123	5.44118	2777	2064
19	3.38491	5.1014	2699.2	2219.4
20	3.83289	4.57226	2372.4	2596.8
21	2.61632	4.18498	3746	2800.4
22	3.67812	4.63107	2494.6	2451.8
23	3.19554	4.41523	2866.4	2760.4
24	3.05984	3.83006	3147.6	2986.4
25	2.88331	3.89363	3327.4	3071
26	2.8609	3.55306	3238.6	3816
27	3.01981	4.1149	3206.8	2720.2
28	2.99343	3.73493	3134.4	3153.4
29	2.8803	4.52074	3361.2	2469.6
30	2.03098	3.20968	5746.6	4320
31	2.60778	3.48505	3587.6	3376.2
32	2.2792	3.99144	4996.4	2805.8
