num of workers	Efficiency Threads	Efficiency Fast Flow	Seq time	Thread time	FF time
1	0.98332	0.990929	1298968	1.32105e+06	1.31088e+06
2	0.974426	0.939994	1298968	666677	691603
3	0.862798	0.917164	1298968	501944	472361
4	0.866851	0.912421	1298968	374659	356004
5	0.850641	0.907682	1298968	305447	286304
6	0.854986	0.89457	1298968	253318	242184
7	0.850792	0.892175	1298968	218138	208120
8	0.852124	0.86978	1298968	190577	187064
9	0.850916	0.899924	1298968	169686	160473
10	0.834508	0.88463	1298968	155749	146962
11	0.836314	0.877221	1298968	141298	134916
12	0.84106	0.87585	1298968	128802	123613
13	0.819252	0.854546	1298968	122057	117107
14	0.821814	0.825287	1298968	113121	113598
15	0.814113	0.838159	1298968	106512	104374
16	0.812127	0.82622	1298968	100075	98734.9
17	0.772125	0.781943	1298968	99264.3	98508.5
18	0.789797	0.834954	1298968	91779.4	86538.2
19	0.801635	0.804572	1298968	85381.4	85447.7
20	0.777053	0.828059	1298968	83670.4	78510.3
21	0.773371	0.776641	1298968	80122.6	80037.4
22	0.758956	0.780021	1298968	77925.8	76042.9
23	0.709741	0.751454	1298968	80209.3	75660.5
24	0.718255	0.731822	1298968	75472.3	74347
25	0.713262	0.749911	1298968	73009.8	69413.7
26	0.684725	0.735588	1298968	73100.7	68059.7
27	0.646453	0.620597	1298968	74774.8	78895.6
28	0.601304	0.631963	1298968	77732	73931.2
29	0.602976	0.58225	1298968	74482.6	78729.7
30	0.570542	0.644187	1298968	76314.3	67337.1
31	0.549268	0.546012	1298968	77027.6	78850.6
32	0.470105	0.560856	1298968	86652.6	72665.7
