num_of_worker	thead_creation_join_time
1	56.2
2	77.1
3	84
4	102.6
5	268.4
6	178.4
7	199
8	252.3
9	264.9
10	310.3
11	362.7
12	385.1
13	429
14	477.9
15	536.3
16	523.3
17	591.8
18	603.8
19	669.7
20	686.2
21	755.2
22	753.5
23	867.8
24	829
25	864.8
26	1328.1
27	950.9
28	1034.1
29	1049
30	1095.5
31	1062.5
32	1154.6
33	1215.3
34	1214.3
35	1571.8
36	1247.3
37	1272.4
38	2111.6
39	1403.8
40	1403.1
41	1468.7
42	1536
43	1528.4
44	1548.8
45	1690.1
46	1653.1
47	1866.5
48	1972.5
49	1808.4
50	2094.6
51	2026.5
52	2000.6
53	2051.3
54	2058.8
55	1970.6
56	2232.6
57	2107
58	2301
59	2179.4
60	2108.5
61	2265
62	2282
63	2638.6
64	2947.5
65	2405.2
66	2366.1
67	2449
68	2568.4
69	2753.8
70	2636.5
71	2675
72	2741.1
73	3136
74	2672.3
75	2787.5
76	2931.4
77	3858.9
78	2883
79	3283.5
80	2881.3
81	2960.5
82	4935.1
83	3079.9
84	3037.8
85	3379.8
86	3171.1
87	3251.6
88	3710.3
89	3634
90	3273.9
91	3477.6
92	3420.7
93	3406.8
94	3886.7
95	3447
96	3893.4
97	3950.3
98	3589.7
99	3674.8
100	3905.6
101	4467.4
102	4533.8
103	3966.1
104	4206.7
105	4262.9
106	4324.2
107	4336.8
108	4283.7
109	4394.5
110	4296.6
111	4431
112	4227.9
113	4464.8
114	4344.1
115	4415.7
116	4380.5
117	4243.1
118	4439.7
119	5206.9
120	4596.6
